District,Short_dis,SS,Lat,Long,Comm
Чухломский,Чухл,Шартановский,59.135366,43.290299,в состав входит Панкратовское с/п
Шарьинский,Шар,Головинский,58.616139,45.678802,по с. Головино 
Шарьинский,Шар,Заболотский,58.294923,45.856498,по с. Заболотье
Шарьинский,Шар,Зебляки,58.313998,45.686411,в состав входит Заболотское с/п
Шарьинский,Шар,Ивановский,58.123277,45.389922,"в состав входят Катунинское, Поляшовское и Марутинское сельские поселения"
Шарьинский,Шар,Катунинский,58.017887,45.628910,по д. Катунино
Шарьинский,Шар,Конёвский,58.090295,45.951531,
Шарьинский,Шар,Кривячский,58.662385,45.455059,по д. Кривячка (входит в состав Шангского с/п)
Шарьинский,Шар,Марутинский,58.119322,45.633581,по д. Марутино
Шарьинский,Шар,Матвеевский,58.526879,45.436131,по д. Матвеевка
Шарьинский,Шар,Нюрюгский,58.655069,45.887975,по д. Нюрюг (входит в состав Шангского с/п)
Шарьинский,Шар,Одоевский,58.166834,45.949662,
Шарьинский,Шар,Пищевский,58.587023,45.459667,по д. Пищевка (входит в состав Шангского с/п)
Шарьинский,Шар,Поляшовский,58.050726,45.595331,по д. Поляшово
Шарьинский,Шар,Семенихинский,58.225875,45.279366,по д. Семениха (входит в состав Ивановского с/п)
Шарьинский,Шар,Троицкий,58.203917,45.750407,
Шарьинский,Шар,Шангский,58.544692,45.685872,в состав входят Головинское и Матвеевское с/п
Шарьинский,Шар,Шекшема,58.307994,45.271856,
Октябрьский,Окт,Новинский,58.757026000000003,46.772320999999998,
Мантуровский,Мант,Мантурово,58.333978999999999,44.763652,
Вохомский,Вохом,Марковский,58.865343000000003,46.523802000000003,
,Мак,Макарьев,57.880037999999999,43.807763999999999,
,Ост,Воскресенский,57.778126999999998,42.425930999999999,
,С-Слав,Корцовский,58.030265,41.722253000000002
